Eval_Num,Num_timesteps,Num_burned,Num_unburned,Num_mitigated,Bench_timesteps,Bench_burned,Bench_unburned,Agent_burn_rate,Bench_burn_rate,Num_Saved,Percent_Area_Saved,Time_Saved,Percent_Time_Saved,Percent_Burn_Rate_Reduced
7,840,3908,12324,152,840,3944,12420,4.652380952380953,4.695238095238095,56,0.7099391480730223,0,0.0,0.9127789046653163
8,288,782,15402,200,288,980,15290,2.7152777777777777,3.4027777777777777,312,15.918367346938775,0,0.0,20.204081632653057
11,896,3978,12254,152,896,3997,12387,4.439732142857143,4.4609375,19,0.2376782586940205,0,0.0,0.4753565173880361
17,896,3926,12240,218,896,3997,12387,4.381696428571429,4.4609375,71,0.888166124593445,0,0.0,1.7763322491868792
18,896,3994,12169,221,896,3997,12387,4.457589285714286,4.4609375,3,0.03752814610958219,0,0.0,0.07505629221917332
23,816,1882,14306,196,816,3908,12444,2.3063725490196076,4.78921568627451,2058,26.33060388945752,0,0.0,51.84237461617196
26,404,1051,15137,196,404,1640,14633,2.6014851485148514,4.0594059405940595,700,21.341463414634145,0,0.0,35.914634146341456
30,192,333,15930,121,192,609,15710,1.734375,3.171875,341,27.996715927750408,0,0.0,45.320197044334975
33,236,673,15542,169,236,741,15571,2.8516949152542375,3.139830508474576,140,9.446693657219974,0,0.0,9.17678812415653
35,204,558,15673,153,204,652,15677,2.735294117647059,3.196078431372549,149,11.42638036809816,0,0.0,14.41717791411044
36,292,889,15296,199,292,1001,15268,3.0445205479452055,3.4280821917808217,227,11.338661338661339,0,0.0,11.188811188811187
